song,artist,mood,danceability,energy,valence,speechiness,acousticness,instrumentalness,liveness,spotify_url
Song_1,Artist_52,Romantic,0.271,0.746,0.335,0.089,0.851,0.247,0.338,
Song_2,Artist_15,Energetic,0.434,0.774,0.579,0.088,0.942,0.041,0.233,
Song_3,Artist_72,Calm,0.935,0.436,0.665,0.102,0.068,0.202,0.093,
Song_4,Artist_61,Calm,0.331,0.315,0.457,0.073,0.84,0.11,0.351,
Song_5,Artist_21,Energetic,0.213,0.282,0.692,0.102,0.495,0.209,0.33,
Song_6,Artist_75,Calm,0.773,0.324,0.86,0.07,0.862,0.102,0.115,
Song_7,Artist_75,Energetic,0.805,0.345,0.612,0.027,0.547,0.42,0.153,
Song_8,Artist_24,Sad,0.46,0.284,0.536,0.061,0.632,0.087,0.328,
Song_9,Artist_3,Energetic,0.549,0.882,0.445,0.07,0.521,0.48,0.115,
Song_10,Artist_22,Energetic,0.687,0.774,0.57,0.092,0.823,0.208,0.371,
Song_11,Artist_53,Calm,0.236,0.142,0.37,0.031,0.7,0.423,0.199,
Song_12,Artist_2,Calm,0.912,0.339,0.402,0.034,0.5,0.314,0.08,
Song_13,Artist_30,Happy,0.865,0.12,0.529,0.046,0.826,0.368,0.336,
Song_14,Artist_38,Happy,0.396,0.543,0.11,0.047,0.241,0.384,0.181,
Song_15,Artist_2,Sad,0.211,0.524,0.256,0.093,0.158,0.252,0.234,
Song_16,Artist_64,Happy,0.9,0.84,0.539,0.045,0.161,0.272,0.089,
Song_17,Artist_60,Energetic,0.576,0.374,0.438,0.083,0.324,0.257,0.051,
Song_18,Artist_21,Calm,0.605,0.827,0.35,0.069,0.234,0.294,0.273,
Song_19,Artist_33,Happy,0.713,0.961,0.707,0.077,0.884,0.015,0.23,
Song_20,Artist_76,Happy,0.662,0.179,0.674,0.104,0.109,0.198,0.258,
Song_21,Artist_58,Sad,0.908,0.805,0.2,0.06,0.667,0.303,0.328,
Song_22,Artist_22,Sad,0.908,0.625,0.841,0.097,0.188,0.299,0.276,
