song,artist,mood,danceability,energy,valence,speechiness,acousticness,instrumentalness,liveness,spotify_url
Blinding Lights,The Weeknd,Romantic,0.771,0.146,0.519,0.032,0.27,0.476,0.224,
Shape of You,Ed Sheeran,Calm,0.32,0.8,0.107,0.116,0.675,0.497,0.183,
Levitating,Dua Lipa,Romantic,0.546,0.279,0.798,0.051,0.069,0.356,0.107,
Uptown Funk,Mark Ronson ft. Bruno Mars,Energetic,0.207,0.33,0.589,0.109,0.799,0.491,0.325,
Someone Like You,Adele,Energetic,0.385,0.247,0.153,0.08,0.014,0.285,0.307,
Rolling in the Deep,Adele,Calm,0.745,0.394,0.134,0.103,0.242,0.13,0.185,
Bad Guy,Billie Eilish,Romantic,0.944,0.774,0.869,0.118,0.706,0.218,0.059,
Stay,The Kid LAROI & Justin Bieber,Romantic,0.274,0.562,0.652,0.049,0.307,0.297,0.344,
Watermelon Sugar,Harry Styles,Romantic,0.501,0.282,0.796,0.116,0.106,0.037,0.054,
Happier Than Ever,Billie Eilish,Sad,0.8,0.881,0.841,0.059,0.349,0.311,0.296,
Lose Yourself,Eminem,Energetic,0.353,0.883,0.565,0.059,0.264,0.491,0.39,
Smells Like Teen Spirit,Nirvana,Romantic,0.616,0.875,0.516,0.054,0.802,0.095,0.203,
Numb,Linkin Park,Romantic,0.75,0.313,0.437,0.074,0.305,0.396,0.132,
In the End,Linkin Park,Sad,0.662,0.502,0.335,0.035,0.752,0.454,0.297,
Believer,Imagine Dragons,Sad,0.341,0.977,0.441,0.075,0.848,0.472,0.336,
Thunder,Imagine Dragons,Romantic,0.467,0.787,0.746,0.074,0.418,0.48,0.241,
Radioactive,Imagine Dragons,Happy,0.788,0.124,0.592,0.096,0.865,0.261,0.388,
Viva La Vida,Coldplay,Romantic,0.616,0.158,0.853,0.103,0.365,0.489,0.068,
Fix You,Coldplay,Romantic,0.204,0.513,0.449,0.064,0.916,0.379,0.227,
Yellow,Coldplay,Sad,0.771,0.909,0.596,0.05,0.094,0.081,0.301,
Halo,Beyoncé,Sad,0.226,0.579,0.618,0.046,0.656,0.238,0.352,
Single Ladies,Beyoncé,Romantic,0.759,0.543,0.583,0.039,0.474,0.359,0.113,
Counting Stars,OneRepublic,Romantic,0.352,0.194,0.682,0.026,0.374,0.124,0.33,
Apologize,OneRepublic,Romantic,0.919,0.685,0.264,0.054,0.605,0.32,0.243,
Girls Like You,Maroon 5,Sad,0.476,0.832,0.511,0.047,0.672,0.333,0.189,
Sugar,Maroon 5,Romantic,0.445,0.439,0.144,0.117,0.014,0.081,0.096,
Memories,Maroon 5,Romantic,0.312,0.79,0.396,0.076,0.167,0.283,0.353,
Roar,Katy Perry,Calm,0.429,0.958,0.489,0.055,0.68,0.386,0.105,
Dark Horse,Katy Perry,Happy,0.857,0.281,0.637,0.078,0.636,0.249,0.158,
Cheap Thrills,Sia,Energetic,0.947,0.566,0.905,0.034,0.918,0.006,0.152,
Chandelier,Sia,Happy,0.476,0.356,0.591,0.064,0.725,0.005,0.355,
Elastic Heart,Sia,Calm,0.536,0.806,0.719,0.083,0.904,0.179,0.285,
Perfect,Ed Sheeran,Energetic,0.742,0.614,0.506,0.069,0.67,0.463,0.329,
Thinking Out Loud,Ed Sheeran,Romantic,0.865,0.665,0.621,0.06,0.29,0.114,0.138,
Photograph,Ed Sheeran,Calm,0.645,0.81,0.114,0.119,0.109,0.317,0.269,
Shape of You,Ed Sheeran,Romantic,0.494,0.452,0.279,0.108,0.745,0.111,0.25,
Peaches,Justin Bieber,Sad,0.509,0.914,0.376,0.082,0.616,0.161,0.341,
Baby,Justin Bieber,Calm,0.722,0.574,0.475,0.077,0.055,0.424,0.367,
Sorry,Justin Bieber,Sad,0.202,0.241,0.091,0.082,0.348,0.364,0.054,
Love Yourself,Justin Bieber,Calm,0.665,0.719,0.176,0.04,0.909,0.048,0.286,
Bad Habits,Ed Sheeran,Calm,0.467,0.806,0.299,0.06,0.48,0.214,0.068,
As It Was,Harry Styles,Sad,0.796,0.382,0.924,0.024,0.417,0.015,0.242,
Adore You,Harry Styles,Energetic,0.27,0.863,0.348,0.068,0.44,0.24,0.151,
Sign of the Times,Harry Styles,Happy,0.641,0.906,0.484,0.074,0.206,0.331,0.157,
Industry Baby,Lil Nas X,Romantic,0.561,0.346,0.226,0.043,0.357,0.059,0.174,
Old Town Road,Lil Nas X,Calm,0.682,0.975,0.6,0.116,0.358,0.144,0.267,
Montero,Lil Nas X,Romantic,0.249,0.225,0.303,0.111,0.059,0.199,0.167,
Starboy,The Weeknd,Sad,0.635,0.28,0.236,0.092,0.732,0.46,0.306,
Save Your Tears,The Weeknd,Romantic,0.621,0.264,0.515,0.073,0.402,0.497,0.192,
Take On Me,A-ha,Sad,0.62,0.896,0.055,0.107,0.783,0.022,0.074,
Billie Jean,Michael Jackson,Romantic,0.653,0.682,0.057,0.033,0.809,0.381,0.324,
Beat It,Michael Jackson,Happy,0.707,0.235,0.247,0.099,0.209,0.186,0.15,
Smooth Criminal,Michael Jackson,Happy,0.804,0.492,0.083,0.032,0.628,0.196,0.201,
Thriller,Michael Jackson,Happy,0.402,0.648,0.147,0.099,0.454,0.377,0.29,
Bohemian Rhapsody,Queen,Happy,0.819,0.174,0.355,0.048,0.837,0.459,0.166,
Another One Bites the Dust,Queen,Happy,0.574,0.885,0.772,0.108,0.213,0.475,0.07,
Under Pressure,Queen,Happy,0.258,0.815,0.565,0.114,0.647,0.289,0.181,
Don't Stop Me Now,Queen,Sad,0.244,0.55,0.511,0.035,0.581,0.179,0.381,
Hey Jude,The Beatles,Calm,0.451,0.961,0.314,0.066,0.288,0.394,0.275,
Let It Be,The Beatles,Romantic,0.789,0.472,0.889,0.118,0.138,0.126,0.285,
Here Comes the Sun,The Beatles,Happy,0.731,0.976,0.407,0.068,0.623,0.282,0.271,
Yesterday,The Beatles,Sad,0.791,0.694,0.128,0.106,0.704,0.179,0.12,
Bad Romance,Lady Gaga,Sad,0.588,0.665,0.605,0.079,0.307,0.328,0.196,
Poker Face,Lady Gaga,Sad,0.53,0.248,0.152,0.058,0.616,0.12,0.313,
Shallow,Lady Gaga & Bradley Cooper,Calm,0.311,0.885,0.361,0.049,0.381,0.096,0.085,
Rain On Me,Lady Gaga & Ariana Grande,Romantic,0.446,0.48,0.507,0.04,0.68,0.459,0.147,
Positions,Ariana Grande,Calm,0.526,0.244,0.837,0.096,0.197,0.051,0.147,
7 rings,Ariana Grande,Energetic,0.266,0.111,0.494,0.059,0.847,0.253,0.201,
"thank u, next",Ariana Grande,Sad,0.365,0.598,0.682,0.071,0.28,0.11,0.393,
No Tears Left to Cry,Ariana Grande,Energetic,0.649,0.569,0.944,0.069,0.356,0.019,0.074,
Blank Space,Taylor Swift,Happy,0.752,0.74,0.168,0.078,0.065,0.018,0.232,
Shake It Off,Taylor Swift,Happy,0.949,0.892,0.297,0.107,0.115,0.088,0.113,
Love Story,Taylor Swift,Calm,0.9,0.171,0.405,0.118,0.495,0.433,0.39,
Anti-Hero,Taylor Swift,Romantic,0.682,0.751,0.43,0.061,0.262,0.141,0.09,
Cruel Summer,Taylor Swift,Energetic,0.516,0.267,0.42,0.103,0.795,0.475,0.191,
Karma,Taylor Swift,Romantic,0.677,0.864,0.867,0.096,0.024,0.291,0.308,
Good 4 U,Olivia Rodrigo,Calm,0.789,0.829,0.693,0.077,0.366,0.218,0.297,
Drivers License,Olivia Rodrigo,Happy,0.289,0.581,0.597,0.116,0.327,0.29,0.198,
Deja Vu,Olivia Rodrigo,Romantic,0.507,0.732,0.328,0.04,0.028,0.258,0.171,
Heat Waves,Glass Animals,Romantic,0.83,0.38,0.791,0.031,0.127,0.379,0.189,
Sweater Weather,The Neighbourhood,Happy,0.488,0.519,0.91,0.105,0.399,0.141,0.142,
Riptide,Vance Joy,Energetic,0.629,0.831,0.789,0.064,0.473,0.177,0.122,
Stressed Out,Twenty One Pilots,Happy,0.641,0.509,0.051,0.105,0.39,0.447,0.219,
Heathens,Twenty One Pilots,Romantic,0.338,0.418,0.623,0.109,0.509,0.473,0.144,
Closer,The Chainsmokers,Energetic,0.472,0.54,0.096,0.026,0.569,0.446,0.151,
Paris,The Chainsmokers,Energetic,0.451,0.837,0.282,0.108,0.019,0.21,0.28,
